,ID Client,Distance_Intervenant_838320706_Driving,Duration_Intervenant_838320706_Driving,Distance_Intervenant_609468992_Driving,Duration_Intervenant_609468992_Driving,Distance_Intervenant_78012267_Driving,Duration_Intervenant_78012267_Driving,Distance_Intervenant_818696864_Driving,Duration_Intervenant_818696864_Driving,Distance_Intervenant_746414886_Driving,Duration_Intervenant_746414886_Driving,Distance_Intervenant_78005437_Driving,Duration_Intervenant_78005437_Driving,Distance_Intervenant_213237245_Driving,Duration_Intervenant_213237245_Driving,Distance_Intervenant_813991780_Driving,Duration_Intervenant_813991780_Driving,Distance_Intervenant_856089133_Bicycling,Duration_Intervenant_856089133_Bicycling,Distance_Intervenant_700168298_Driving,Duration_Intervenant_700168298_Driving,Distance_Intervenant_810259688_Bicycling,Duration_Intervenant_810259688_Bicycling,Distance_Intervenant_78007018_Driving,Duration_Intervenant_78007018_Driving,Distance_Intervenant_764144581_Driving,Duration_Intervenant_764144581_Driving,Distance_Intervenant_888888888_Bicycling,Duration_Intervenant_888888888_Bicycling,Distance_Intervenant_854577575_Bicycling,Duration_Intervenant_854577575_Bicycling,Distance_Intervenant_480302361_Driving,Duration_Intervenant_480302361_Driving,Distance_Intervenant_78007874_Driving,Duration_Intervenant_78007874_Driving,Distance_Intervenant_842621873_Driving,Duration_Intervenant_842621873_Driving,Distance_Intervenant_710283561_Driving,Duration_Intervenant_710283561_Driving,Distance_Intervenant_1452747150_Bicycling,Duration_Intervenant_1452747150_Bicycling,Distance_Intervenant_162858075_Driving,Duration_Intervenant_162858075_Driving,Distance_Intervenant_739888851_Driving,Duration_Intervenant_739888851_Driving,Distance_Intervenant_648993440_Driving,Duration_Intervenant_648993440_Driving,Distance_Intervenant_776399834_Driving,Duration_Intervenant_776399834_Driving,Distance_Intervenant_838320706_Bicycling,Duration_Intervenant_838320706_Bicycling,Distance_Intervenant_609468992_Bicycling,Duration_Intervenant_609468992_Bicycling,Distance_Intervenant_78012267_Bicycling,Duration_Intervenant_78012267_Bicycling,Distance_Intervenant_818696864_Bicycling,Duration_Intervenant_818696864_Bicycling,Distance_Intervenant_746414886_Bicycling,Duration_Intervenant_746414886_Bicycling,Distance_Intervenant_78005437_Bicycling,Duration_Intervenant_78005437_Bicycling,Distance_Intervenant_213237245_Bicycling,Duration_Intervenant_213237245_Bicycling,Distance_Intervenant_813991780_Bicycling,Duration_Intervenant_813991780_Bicycling,Distance_Intervenant_856089133_Driving,Duration_Intervenant_856089133_Driving,Distance_Intervenant_700168298_Bicycling,Duration_Intervenant_700168298_Bicycling,Distance_Intervenant_810259688_Driving,Duration_Intervenant_810259688_Driving,Distance_Intervenant_78007018_Bicycling,Duration_Intervenant_78007018_Bicycling,Distance_Intervenant_764144581_Bicycling,Duration_Intervenant_764144581_Bicycling,Distance_Intervenant_888888888_Driving,Duration_Intervenant_888888888_Driving,Distance_Intervenant_854577575_Driving,Duration_Intervenant_854577575_Driving,Distance_Intervenant_480302361_Bicycling,Duration_Intervenant_480302361_Bicycling,Distance_Intervenant_78007874_Bicycling,Duration_Intervenant_78007874_Bicycling,Distance_Intervenant_842621873_Bicycling,Duration_Intervenant_842621873_Bicycling,Distance_Intervenant_710283561_Bicycling,Duration_Intervenant_710283561_Bicycling,Distance_Intervenant_1452747150_Driving,Duration_Intervenant_1452747150_Driving,Distance_Intervenant_162858075_Bicycling,Duration_Intervenant_162858075_Bicycling,Distance_Intervenant_739888851_Bicycling,Duration_Intervenant_739888851_Bicycling,Distance_Intervenant_648993440_Bicycling,Duration_Intervenant_648993440_Bicycling,Distance_Intervenant_776399834_Bicycling,Duration_Intervenant_776399834_Bicycling
0,78690893,5.4 km,7 mins,14.4 km,15 mins,2.0 km,5 mins,6.1 km,11 mins,17.1 km,22 mins,2.0 km,3 mins,14.1 km,16 mins,25.1 km,26 mins,18.4 km,1 hour 2 mins,16.0 km,19 mins,1.4 km,6 mins,3.8 km,6 mins,19.0 km,19 mins,1.5 km,6 mins,4.4 km,18 mins,4.3 km,6 mins,3.4 km,8 mins,2.9 km,8 mins,2.4 km,6 mins,19.6 km,1 hour 7 mins,1.3 km,5 mins,9.2 km,12 mins,13.8 km,15 mins,4.5 km,8 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins
1,78691334,7.7 km,11 mins,13.4 km,14 mins,5.3 km,9 mins,6.4 km,11 mins,14.6 km,20 mins,3.1 km,4 mins,11.5 km,14 mins,21.8 km,22 mins,19.3 km,1 hour 5 mins,13.5 km,17 mins,3.1 km,13 mins,2.8 km,6 mins,21.3 km,22 mins,4.9 km,21 mins,5.9 km,24 mins,6.6 km,10 mins,6.1 km,11 mins,5.8 km,10 mins,5.4 km,9 mins,20.3 km,1 hour 9 mins,5.4 km,9 mins,8.4 km,12 mins,11.3 km,14 mins,5.3 km,8 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins
2,78691389,4.5 km,8 mins,20.8 km,23 mins,5.5 km,11 mins,8.5 km,14 mins,20.9 km,26 mins,8.4 km,12 mins,17.8 km,20 mins,31.5 km,35 mins,13.4 km,45 mins,19.8 km,23 mins,7.2 km,27 mins,10.2 km,14 mins,10.7 km,15 mins,5.5 km,21 mins,8.6 km,33 mins,4.7 km,9 mins,6.5 km,11 mins,5.2 km,10 mins,5.3 km,10 mins,23.1 km,1 hour 22 mins,6.3 km,11 mins,13.0 km,16 mins,17.6 km,19 mins,10.9 km,17 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins
3,78691461,13.8 km,15 mins,18.3 km,23 mins,13.3 km,16 mins,10.7 km,12 mins,2.9 km,6 mins,13.1 km,13 mins,0.9 km,2 mins,17.3 km,20 mins,30.9 km,1 hour 44 mins,2.2 km,4 mins,14.7 km,51 mins,16.5 km,18 mins,29.7 km,30 mins,15.4 km,54 mins,12.5 km,44 mins,14.8 km,18 mins,13.8 km,15 mins,13.9 km,18 mins,13.5 km,17 mins,11.4 km,39 mins,13.8 km,18 mins,6.8 km,9 mins,0.9 km,2 mins,11.6 km,14 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins
4,78692265,4.7 km,8 mins,18.2 km,19 mins,2.9 km,7 mins,1.0 km,3 mins,13.2 km,17 mins,4.2 km,6 mins,10.2 km,11 mins,23.2 km,24 mins,19.8 km,1 hour 11 mins,12.1 km,14 mins,5.0 km,20 mins,7.6 km,10 mins,22.8 km,23 mins,3.8 km,17 mins,1.0 km,4 mins,3.5 km,10 mins,4.7 km,8 mins,3.4 km,9 mins,3.0 km,8 mins,15.8 km,52 mins,3.3 km,9 mins,5.3 km,7 mins,9.9 km,10 mins,2.6 km,6 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins
5,78865175,13.7 km,17 mins,25.1 km,26 mins,13.4 km,18 mins,18.5 km,24 mins,30.9 km,36 mins,19.2 km,19 mins,27.9 km,30 mins,42.2 km,41 mins,3.3 km,13 mins,29.8 km,33 mins,16.3 km,54 mins,16.8 km,19 mins,0.5 km,1 min,14.1 km,47 mins,17.2 km,59 mins,12.6 km,16 mins,14.2 km,18 mins,13.1 km,17 mins,13.2 km,18 mins,31.8 km,1 hour 49 mins,14.2 km,18 mins,23.0 km,27 mins,27.6 km,30 mins,21.6 km,24 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins
6,78867322,4.1 km,6 mins,15.8 km,16 mins,1.4 km,4 mins,3.8 km,11 mins,18.5 km,24 mins,3.4 km,5 mins,15.4 km,18 mins,26.5 km,28 mins,17.2 km,58 mins,17.4 km,20 mins,2.5 km,11 mins,5.2 km,7 mins,14.5 km,19 mins,0.3 km,2 mins,4.1 km,18 mins,1.6 km,4 mins,4.5 km,7 mins,1.7 km,4 mins,1.9 km,5 mins,19.3 km,1 hour 8 mins,0.3 km,1 min,10.6 km,14 mins,15.2 km,17 mins,5.9 km,10 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins
7,78873790,1.8 km,4 mins,16.5 km,18 mins,1.5 km,4 mins,4.3 km,11 mins,17.5 km,25 mins,4.1 km,7 mins,14.4 km,19 mins,25.5 km,29 mins,16.2 km,54 mins,16.4 km,22 mins,3.5 km,12 mins,5.9 km,9 mins,13.1 km,18 mins,0.9 km,3 mins,4.1 km,17 mins,0.7 km,2 mins,2.3 km,5 mins,0.9 km,2 mins,1.2 km,3 mins,19.3 km,1 hour 7 mins,1.4 km,4 mins,9.6 km,16 mins,14.2 km,19 mins,4.9 km,12 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins
8,78899980,3.7 km,5 mins,15.4 km,15 mins,1.7 km,4 mins,4.1 km,11 mins,18.1 km,22 mins,3.0 km,4 mins,15.0 km,16 mins,26.1 km,26 mins,17.2 km,57 mins,17.0 km,19 mins,2.4 km,8 mins,4.8 km,6 mins,14.1 km,17 mins,0.5 km,1 min,4.3 km,19 mins,1.7 km,4 mins,4.1 km,6 mins,1.8 km,4 mins,2.2 km,5 mins,19.5 km,1 hour 8 mins,0.5 km,1 min,10.2 km,13 mins,14.8 km,16 mins,5.5 km,9 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins
9,79591205,2.2 km,5 mins,19.3 km,20 mins,1.8 km,5 mins,1.6 km,5 mins,14.8 km,19 mins,3.9 km,8 mins,11.7 km,13 mins,23.9 km,27 mins,18.6 km,1 hour 4 mins,13.7 km,16 mins,4.1 km,17 mins,8.7 km,12 mins,14.7 km,19 mins,2.9 km,14 mins,2.0 km,10 mins,2.4 km,6 mins,1.0 km,3 mins,1.8 km,5 mins,1.4 km,4 mins,17.2 km,1 hour 0 mins,4.8 km,8 mins,6.8 km,9 mins,11.5 km,12 mins,3.4 km,10 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins
10,79598982,15.3 km,18 mins,33.2 km,35 mins,16.7 km,21 mins,14.2 km,20 mins,19.3 km,24 mins,18.4 km,22 mins,19.0 km,23 mins,34.6 km,38 mins,27.3 km,1 hour 29 mins,20.5 km,25 mins,19.4 km,1 hour 13 mins,22.6 km,26 mins,26.2 km,31 mins,18.2 km,1 hour 9 mins,15.2 km,55 mins,16.3 km,21 mins,14.9 km,17 mins,16.4 km,20 mins,16.2 km,19 mins,11.5 km,43 mins,18.7 km,22 mins,14.6 km,19 mins,19.6 km,24 mins,16.8 km,23 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins
11,79600570,5.1 km,11 mins,17.9 km,19 mins,3.3 km,7 mins,1.3 km,6 mins,13.7 km,18 mins,3.9 km,6 mins,10.6 km,12 mins,23.0 km,24 mins,20.4 km,1 hour 10 mins,12.6 km,15 mins,5.2 km,20 mins,7.3 km,10 mins,22.5 km,23 mins,4.0 km,16 mins,1.3 km,5 mins,4.0 km,10 mins,4.2 km,9 mins,3.9 km,9 mins,3.5 km,8 mins,16.4 km,55 mins,3.8 km,9 mins,5.7 km,8 mins,10.3 km,11 mins,2.4 km,6 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins
12,82135699,3.7 km,5 mins,15.4 km,15 mins,1.7 km,4 mins,4.1 km,11 mins,18.2 km,23 mins,3.1 km,4 mins,15.1 km,17 mins,26.1 km,27 mins,17.2 km,57 mins,17.1 km,19 mins,2.5 km,8 mins,4.8 km,7 mins,14.1 km,18 mins,0.6 km,2 mins,4.4 km,19 mins,1.7 km,4 mins,4.2 km,6 mins,1.9 km,4 mins,2.2 km,5 mins,19.6 km,1 hour 9 mins,0.6 km,2 mins,10.2 km,13 mins,14.8 km,16 mins,5.6 km,9 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins
13,87274454,10.6 km,14 mins,22.1 km,22 mins,10.4 km,15 mins,14.0 km,21 mins,26.9 km,34 mins,16.2 km,16 mins,23.8 km,28 mins,39.3 km,38 mins,6.2 km,24 mins,25.8 km,30 mins,13.5 km,46 mins,13.8 km,16 mins,3.5 km,6 mins,11.6 km,41 mins,14.8 km,53 mins,9.5 km,13 mins,11.1 km,15 mins,10.0 km,14 mins,10.1 km,14 mins,29.3 km,1 hour 43 mins,11.1 km,14 mins,19.0 km,24 mins,23.6 km,27 mins,18.7 km,21 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins
14,87835064,15.1 km,16 mins,8.2 km,9 mins,12.3 km,14 mins,11.7 km,16 mins,19.0 km,20 mins,10.1 km,10 mins,12.6 km,16 mins,19.0 km,20 mins,22.2 km,1 hour 11 mins,14.6 km,19 mins,9.6 km,31 mins,10.6 km,13 mins,22.9 km,25 mins,11.5 km,39 mins,13.7 km,42 mins,14.0 km,15 mins,13.1 km,16 mins,12.8 km,16 mins,12.4 km,15 mins,23.4 km,1 hour 17 mins,12.8 km,14 mins,12.0 km,14 mins,12.4 km,16 mins,8.8 km,10 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins
15,87852633,13.0 km,17 mins,26.2 km,27 mins,12.8 km,18 mins,19.4 km,21 mins,31.8 km,34 mins,15.7 km,19 mins,28.7 km,28 mins,38.8 km,41 mins,7.4 km,28 mins,30.7 km,30 mins,15.0 km,50 mins,17.9 km,21 mins,4.9 km,7 mins,13.3 km,44 mins,16.5 km,56 mins,11.9 km,15 mins,13.5 km,17 mins,12.5 km,16 mins,12.6 km,17 mins,29.1 km,1 hour 42 mins,13.6 km,17 mins,23.9 km,24 mins,28.5 km,27 mins,18.2 km,23 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins
16,88588548,4.9 km,10 mins,18.1 km,20 mins,3.5 km,8 mins,1.2 km,5 mins,13.5 km,19 mins,4.1 km,6 mins,10.5 km,13 mins,23.1 km,25 mins,19.9 km,1 hour 11 mins,12.4 km,15 mins,5.6 km,21 mins,7.5 km,11 mins,22.7 km,24 mins,4.5 km,17 mins,1.2 km,4 mins,4.2 km,11 mins,4.3 km,10 mins,4.1 km,10 mins,3.7 km,9 mins,16.3 km,55 mins,4.0 km,10 mins,5.6 km,9 mins,10.2 km,12 mins,2.5 km,7 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins
17,88672872,6.5 km,9 mins,24.4 km,26 mins,7.9 km,12 mins,6.5 km,11 mins,18.4 km,23 mins,10.6 km,13 mins,15.3 km,17 mins,29.6 km,32 mins,20.3 km,1 hour 9 mins,17.3 km,19 mins,10.2 km,41 mins,13.8 km,17 mins,19.8 km,25 mins,11.4 km,40 mins,6.0 km,24 mins,7.5 km,11 mins,6.1 km,8 mins,7.6 km,11 mins,7.4 km,10 mins,14.7 km,52 mins,9.9 km,13 mins,8.4 km,12 mins,15.1 km,16 mins,9.0 km,14 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins
18,97922195,3.5 km,7 mins,16.4 km,17 mins,1.7 km,3 mins,2.9 km,8 mins,16.6 km,21 mins,2.4 km,3 mins,13.5 km,15 mins,24.6 km,25 mins,18.7 km,1 hour 6 mins,15.5 km,18 mins,2.6 km,12 mins,5.8 km,8 mins,15.8 km,21 mins,2.2 km,11 mins,2.9 km,14 mins,2.4 km,6 mins,2.5 km,5 mins,2.3 km,5 mins,1.9 km,4 mins,18.1 km,1 hour 4 mins,2.2 km,5 mins,8.6 km,11 mins,13.3 km,14 mins,4.0 km,7 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins,1000 km,4000 mins
